Title,Director,Rating,Genres,Year,Duration
Nirvanna the Band the Show the Movie ,Matt Johnson,4.39,"Comedy, Adventure, Science Fiction",2025,102
Project Hail Mary ,"Phil Lord, Christopher Miller",,"Mystery, Science Fiction, Adventure",2026,156
Crime 101 ,Bart Layton,3.19,"Crime, Thriller",2026,141
The Voice of Hind Rajab ,Kaouther Ben Hania,4.39,"Drama, History",2025,89
Steve ,Tim Mielants,3.57,Drama,2025,92
